# KMCs    CPU time    Old energy    New energy     barrier  Total rate   time step    Sim time    Selec Ev   Init Topo    Sad Topo    Fin Topo
# **** ***********    **********   *********** ***********  **********  ********** *********** *********** *********** *********** ***********
    64  0.3038E+05    -2337.0246    -2336.9601      0.6391  0.6962E+10  0.3054E-09  0.6368E-07     1194932      594001      342406      593603
    65  0.3052E+05    -2336.9601    -2336.7828      0.5683  0.2165E+11  0.6046E-10  0.6374E-07      525932     1068515      761901     1034491
    66  0.3223E+05    -2336.7828    -2337.8169      0.2764  0.4409E+12  0.3125E-11  0.6374E-07      691808      727925      436748      441115
    67  0.3390E+05    -2337.8169    -2337.9149      0.8156  0.7406E+09  0.4125E-08  0.6786E-07      198534      383143     1288369      341315
    68  0.3481E+05    -2337.9149    -2337.8992      0.7412  0.1378E+10  0.8457E-10  0.6795E-07     1255821       40339      845605       23983
    69  0.3551E+05    -2337.8992    -2337.9149      0.7255  0.2185E+10  0.6588E-10  0.6801E-07     1133888       23983      845605       40339
    70  0.3552E+05    -2337.9149    -2337.8887      0.7660  0.1378E+10  0.9061E-10  0.6810E-07      672837      999713      188602      215222
    71  0.3625E+05    -2337.8887    -2337.9149      0.7399  0.1140E+10  0.9642E-09  0.6907E-07      891385      215222      188602      999713
    72  0.3626E+05    -2337.9149    -2337.8408      0.9780  0.1378E+10  0.8074E-09  0.6988E-07     1217831     1128777      600036      916581
    73  0.3682E+05    -2337.8408    -2338.1672      0.5257  0.1288E+11  0.5132E-10  0.6993E-07      513792      191202     1062506     1277642
    74  0.3771E+05    -2338.1672    -2338.4247      0.5348  0.1079E+11  0.4753E-10  0.6998E-07       76159     1138667      544910      914006
    75  0.3822E+05    -2338.4247    -2338.3995      0.8529  0.6874E+09  0.2202E-09  0.7020E-07      567966       21787      955261     1065766
    76  0.3905E+05    -2338.3995    -2338.4247      0.8277  0.4716E+09  0.9007E-09  0.7110E-07     1240439     1065766      578224       21787
    77  0.3905E+05    -2338.4247    -2338.1672      0.7929  0.6845E+09  0.5346E-09  0.7163E-07      540188      914006      544910     1138667
    78  0.3907E+05    -2338.1672    -2338.4247      0.5354  0.1071E+11  0.2017E-09  0.7183E-07       76159     1138667      544910      914006
    79  0.3908E+05    -2338.4247    -2338.1672      0.7929  0.6844E+09  0.2302E-08  0.7413E-07      540188      914006      544910     1138667
    80  0.3909E+05    -2338.1672    -2338.4247      0.5354  0.1071E+11  0.6843E-10  0.7420E-07       76159     1138667      544910      914006
    81  0.3910E+05    -2338.4247    -2338.1672      0.7929  0.6845E+09  0.2289E-08  0.7649E-07      540188      914006      544910     1138667
    82  0.3911E+05    -2338.1672    -2338.4247      0.5354  0.1071E+11  0.3236E-10  0.7652E-07       76159     1138667      544910      914006
    83  0.3912E+05    -2338.4247    -2338.1672      0.7929  0.6846E+09  0.8073E-09  0.7733E-07      540188      914006      544910     1138667
    84  0.3913E+05    -2338.1672    -2338.4247      0.5354  0.1071E+11  0.7319E-11  0.7734E-07       76159     1138667      544910      914006
